cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob,is_fraud
2.27098E+15,Sherri,Baker,F,78248 Brandt Plains,Lammouth,TX,16361,-23.4533425,-59.366535,English as a foreign language teacher,11/4/2012,1
3.51838E+15,Tyler,Cowan,M,169 Donovan Ford,Stephenland,FL,1721,33.020082,153.482333,"Civil engineer, consulting",11/10/1986,0
5.02097E+11,Christine,Wright,F,03654 Tammy Harbors,North Natalieview,TX,23906,65.8508695,-37.478832,Restaurant manager,11/30/1956,0
1.80028E+14,Jeremy,Lewis,M,6320 Kimberly Forges Apt. 870,Stephaniemouth,TX,80802,45.500356,49.104699,"Engineer, manufacturing systems",10/16/1935,0
4.90497E+18,Kimberly,DDS,F,33092 David Skyway,New Catherine,CA,98533,-59.2553175,-92.078903,Environmental health practitioner,11/5/1939,1
5.01884E+11,Jose,Lee,M,1823 Joanna Harbor,West Alexis,NC,70511,-56.0206455,-32.730225,"Pharmacist, hospital",7/18/1943,0
3.42567E+14,David,Baker,M,490 Thomas Run,Costafort,FL,46108,19.6151075,-1.056417,Building surveyor,2/5/2001,0
60426217455,John,Kennedy,M,636 Louis Mountains,Mollymouth,NC,13570,51.183918,65.311394,Brewing technologist,2/13/1953,0
4.33942E+12,Jeffrey,Sanchez,M,474 Yvonne Walk Suite 136,Alanton,MI,79983,43.339215,-26.350685,Estate agent,1/16/1950,0
3.64054E+13,Todd,Rodriguez,M,00471 Jimmy Plain,Matthewsberg,NY,54880,85.804259,-126.838165,Clinical research associate,6/15/1950,0
3.5281E+15,Karen,Strickland,F,18367 Robert Views Suite 661,Jonesland,IL,12720,25.93097,-128.157368,Armed forces logistics/support/administrative officer,1/29/1971,0
6.01161E+15,Cindy,Barnes,F,36900 Kevin Forest Apt. 445,New Angelica,PA,88063,5.0710265,-141.304764,Customer service manager,9/1/2001,1
4.54666E+15,Peter,Cole,M,9782 Shannon Valleys,East Jasminemouth,TX,69191,50.324106,147.386786,Careers information officer,11/29/1914,0
2.13181E+14,Brenda,Jones,F,7359 Murray Haven,Port John,MI,84541,39.007571,19.29298,Psychiatric nurse,1/1/2016,0
2.2832E+15,Dwayne,Turner,M,USS Myers,Zavalaview,GA,98453,-85.6400085,11.713312,Corporate treasurer,7/16/1918,0
6.01145E+15,Bobby,Guerrero,M,275 Wallace Club,North Anthony,TX,24886,43.9610935,97.962376,Careers information officer,3/9/1959,0
4.82992E+18,Jennifer,Love,F,USNS Reed,West Jamesside,MI,36473,-56.399856,155.556324,"Surveyor, hydrographic",3/29/1953,0
2.131E+14,Kathleen,Robertson,F,8416 Duran Harbors,Kariborough,MI,79467,46.666534,35.493049,Company secretary,4/16/1916,0
2.72093E+15,Logan,Ruiz,M,1986 Cardenas Trail Apt. 404,Port Amanda,CA,74165,-17.0871665,-106.302142,Chartered loss adjuster,10/19/1956,0
4.93327E+18,Chad,Gordon,M,4549 Jose Lake,Parksport,IL,90978,-58.481452,162.90553,Geochemist,4/4/1910,0
4.31069E+15,Melody,Weaver,F,512 Rice Stream,Patelbury,TX,32942,33.648156,5.843094,"Pharmacist, hospital",9/14/1960,0
6.01193E+15,Erin,Miller,F,93638 Rowe Light Suite 854,Gillmouth,MT,27125,9.510345,-12.00127,Horticultural consultant,4/17/1925,0
3.58034E+15,Alan,Patel,M,Unit 0166 Box 6870,North Vincent,PA,57374,83.1159695,-2.150441,"Engineer, civil (contracting)",4/20/1998,0
4.99371E+12,Angela,Moore,F,46618 Ashley Extension Suite 224,Robertfort,IL,10583,6.9387315,-44.869734,Ambulance person,2/2/2016,0
4.07146E+15,Charles,Turner,M,Unit 5610 Box 1438,South Neil,MT,61195,67.9984135,88.685522,Oncologist,9/19/1963,1
5.73843E+11,Robert,Mccarthy,M,0723 Maynard Parkways,Jacksonshire,NY,4545,-30.8020605,-23.185424,English as a foreign language teacher,12/3/2023,0
3.75893E+14,Jose,Mccullough,M,8457 Murphy Alley,Robinsonchester,NY,28268,42.799032,-35.830384,Health physicist,6/21/2017,0
2.60553E+15,Sierra,Taylor,F,2341 Angela Rapid Suite 043,Cruzbury,MT,65982,81.2839215,138.863619,Legal secretary,8/5/1961,0
2.71518E+15,Breanna,Smith,F,80003 Thomas Lights,Walkerbury,MT,55060,-4.118066,-34.369493,"Designer, jewellery",6/9/1987,0
6.39032E+11,Debbie,Edwards,F,52135 Palmer Springs,North Steven,CA,18823,-57.397639,-173.580675,Geochemist,9/24/1950,0
4.01039E+15,Rebekah,Norton,F,652 Joel Island,New Stacy,PA,65018,55.525465,-14.078394,Environmental health practitioner,12/8/1916,0
3.7063E+14,Emily,Lamb,F,5861 Kramer Ports Apt. 271,South Eugene,FL,10331,56.8466115,-130.014804,Chartered loss adjuster,12/19/1931,0
2.71149E+15,Mr.,Armstrong,M,29451 Paul Locks Suite 487,South Edwardshire,PA,77562,66.411188,-126.203391,Transport planner,2/19/1915,0
6.55744E+15,Amber,Ward,F,33468 Michelle Trafficway,Charleneport,OH,93921,82.5342885,-32.157263,Health physicist,3/19/1987,0
3.40034E+14,Gary,Green,M,250 Shannon Fords Apt. 927,Smithside,GA,26638,10.153645,-172.442406,"Journalist, broadcasting",5/5/2015,1
5.01823E+11,Brian,Higgins,M,114 Stephen Hill,Michaelmouth,FL,56337,-58.8880475,-128.998087,Town planner,5/19/2000,0
4.58998E+12,Mckenzie,DDS,F,77517 Curtis Loop Apt. 880,Lake Emily,IL,45177,7.5340025,-150.861218,Marine scientist,10/23/1971,0
1.80016E+14,Noah,Tran,M,4722 Morrison Summit Suite 858,Samanthaberg,MI,93614,84.506234,-84.537534,"Engineer, agricultural",1/31/2013,0
4.5544E+12,Michele,Holland,F,094 Tyler Plaza Suite 158,Danielsfurt,NY,12552,3.79214,-61.245185,"Designer, jewellery",10/6/1914,0
6.76182E+11,Brittany,Stevens,F,4914 James View,Susanberg,CA,39567,83.930232,20.322916,Ambulance person,10/9/2024,0
6.76339E+11,Rachel,Joseph,F,308 Stephens Plains Suite 256,Masonland,MT,52508,7.6744175,89.599002,"Surveyor, mining",7/28/1913,0
